Unlimited জিবি + ১৯০০ মিনিট | ৩০ দিন | ১০৬২ টাকা
১০ জিবি + ৪০০ মিনিট | ৩০ দিন | ৪৮৬ টাকা
১০ জিবি + ৩৫০ মিনিট | ৩০ দিন | ৪৮৩ টাকা
১০ জিবি + ৩০০ মিনিট | ৩০ দিন | ৪৭৩ টাকা
১০ জিবি + ২৫০ মিনিট | ৩০ দিন | ৪৬৩ টাকা
১০ জিবি + ২০০ মিনিট | ৩০ দিন | ৪৫৩ টাকা
১০ জিবি + ১৫০ মিনিট | ৩০ দিন | ৪৩৮ টাকা
১০ জিবি + ১০০ মিনিট | ৩০ দিন | ৪২৪ টাকা
১০০ জিবি | ৩০ দিন | ৭২১ টাকা
৭৫ জিবি | ৩০ দিন | ৬৯৬ টাকা
৫০ জিবি | ৩০ দিন | ৫৮৯ টাকা
৪০ জিবি | ৩০ দিন | ৫৭৫ টাকা
৩০ জিবি | ৩০ দিন | ৫৭৪ টাকা
২৫ জিবি | ৩০ দিন | ৫৩৪ টাকা
২০ জিবি | ৩০ দিন | ৪৮৬ টাকা
১৫ জিবি | ৩০ দিন | ৪১৩ টাকা
১০ জিবি | ৩০ দিন | ৩৭৭ টাকা
৫০ জিবি | ৩০ দিন | ৪৯০ টাকা
৪০ জিবি | ৩০ দিন | ৪৪০ টাকা
৩৫ জিবি | ৩০ দিন | ৪০০ টাকা
৩০ জিবি | ৩০ দিন | ৩৭৫ টাকা
২৫ জিবি | ৩০ দিন | ৩৬০ টাকা
২০ জিবি | ৩০ দিন | ২৯৫ টাকা
১৫ জিবি | ৩০ দিন | ২৭০ টাকা
১০ জিবি | ৩০ দিন | ২৩০ টাকা
Unlimited (15mbps) জিবি | ৩০ দিন | ৮০৯ টাকা
২০০/১৫০ জিবি | ৩০ দিন | ৭২১ টাকা
Unlimited (10mbps) জিবি | ৩০ দিন | ৭৯০ টাকা
৭০ জিবি | ৩০ দিন | ৬৪২ টাকা
৩৫/৫০ জিবি | ৩০ দিন | ৫৮৩ টাকা
৩০/৪০ জিবি | ৩০ দিন | ৪৯৫ টাকা
১০০০ মিনিট | ৩০ দিন | ৫৯১ টাকা
৭৫০ মিনিট | ৩০ দিন | ৪৭৯ টাকা
৬০০ মিনিট | ৩০ দিন | ৩৯২ টাকা
৫০০ মিনিট | ৩০ দিন | ৩২৭ টাকা
৪০০ মিনিট | ৩০ দিন | ২৮৮ টাকা
৩৫০ মিনিট | ৩০ দিন | ২৬৮ টাকা
৩০০ মিনিট | ৩০ দিন | ২৩৮ টাকা
২৫০ মিনিট | ৩০ দিন | ২০৮ টাকা
২০০ মিনিট | ৩০ দিন | ১৮৪ টাকা
১৫০ মিনিট | ৩০ দিন | ১৪৪ টাকা
১০০ মিনিট | ৩০ দিন | ১০৪ টাকা
১০০০ মিনিট | ৩০ দিন | ৩৯০ টাকা
৮০০ মিনিট | ৩০ দিন | ৩৬০ টাকা
৭০০ মিনিট | ৩০ দিন | ৩৫০ টাকা
৬০০ মিনিট | ৩০ দিন | ৩১০ টাকা
৫০০ মিনিট | ৩০ দিন | ২৮০ টাকা
৪০০ মিনিট | ৩০ দিন | ২৫০ টাকা
৩০০ মিনিট | ৩০ দিন | ২২০ টাকা
১৫০০ মিনিট | ১৫০ দিন | ৮৮১ টাকা
১০০০ মিনিট | ৩০ দিন | ৫৬৯ টাকা
৮০০ মিনিট | ৩০ দিন | ৪৫৫ টাকা
৬২০ মিনিট | ৩০ দিন | ৩৬৬ টাকা
৫২৫ মিনিট | ৩০ দিন | ৩২১ টাকা
৪০০/৩৮০ মিনিট | ৩০ দিন | ২৬২ টাকা
৩০০/২৮০ মিনিট | ৩০ দিন | ২২২ টাকা
